split,first_layer,second_layer,sample_index,source_window_index,nll
calibration,,,50,2021,2.6526753902435303
calibration,,,51,2579,2.1286864280700684
calibration,,,52,2843,2.6461288928985596
calibration,,,53,2661,1.9835561513900757
calibration,,,54,426,2.8866796493530273
calibration,,,55,768,3.0741567611694336
calibration,,,56,2163,2.5304195880889893
calibration,,,57,2378,2.5309438705444336
calibration,,,58,1777,2.936810255050659
calibration,,,59,2019,2.568953275680542
calibration,,,60,611,2.5705554485321045
calibration,,,61,1632,2.701939821243286
calibration,,,62,1668,2.059081554412842
calibration,,,63,2131,2.0260722637176514
calibration,,,64,4582,0.9998347759246826
calibration,,,65,3185,2.272592306137085
calibration,,,66,3604,2.3927032947540283
calibration,,,67,2688,2.4515459537506104
calibration,,,68,1024,2.5019989013671875
calibration,,,69,3447,2.723418951034546
calibration,,,70,1624,2.47430682182312
calibration,,,71,683,2.0967648029327393
calibration,,,72,3712,2.7738659381866455
calibration,,,73,4597,2.0184848308563232
calibration,,,74,2003,2.4226386547088623
calibration,,,75,38,2.6239304542541504
calibration,,,76,2557,2.2834384441375732
calibration,,,77,648,2.815011978149414
calibration,,,78,2091,2.089824914932251
calibration,,,79,2261,2.899595022201538
calibration,,,80,2086,2.719841718673706
calibration,,,81,4297,2.7300760746002197
calibration,,,82,3993,2.169003963470459
calibration,,,83,559,2.3492324352264404
calibration,,,84,3219,2.882901430130005
calibration,,,85,3324,2.643761157989502
calibration,,,86,4366,2.7660861015319824
calibration,,,87,323,2.7341370582580566
calibration,,,88,3151,2.456529140472412
calibration,,,89,2912,2.2484939098358154
calibration,,,90,2892,2.864865303039551
calibration,,,91,1031,3.0259621143341064
calibration,,,92,2905,1.6566044092178345
calibration,,,93,1747,2.760496139526367
calibration,,,94,1426,2.626422882080078
calibration,,,95,1288,2.4076199531555176
calibration,1,,0,720,5.586105823516846
calibration,1,,1,3796,5.445492744445801
calibration,1,,2,2979,4.7041168212890625
calibration,1,,3,3195,4.751105308532715
calibration,1,,4,3348,6.944336891174316
calibration,1,,5,636,6.775688171386719
calibration,1,,6,655,5.0044684410095215
calibration,1,,7,4470,5.662873268127441
calibration,1,,8,3767,4.8592753410339355
calibration,1,,9,1123,7.086008071899414
calibration,1,,10,1907,4.318582534790039
calibration,1,,11,4325,9.96380615234375
calibration,1,,12,3374,6.392620086669922
calibration,1,,13,552,4.619979381561279
calibration,1,,14,1983,5.028944969177246
calibration,1,,15,279,4.124519348144531
calibration,1,,16,3116,5.621391773223877
calibration,1,,17,3247,6.163979530334473
calibration,1,,18,4798,6.949228763580322
calibration,1,,19,2782,4.518784523010254
calibration,1,,20,2029,4.589756488800049
calibration,1,,21,3681,4.765483379364014
calibration,1,,22,252,6.042291641235352
calibration,1,,23,2694,5.584961891174316
calibration,1,,24,1696,7.235666751861572
calibration,1,,25,1,5.8762125968933105
calibration,1,,26,1432,6.504986763000488
calibration,1,,27,3131,5.2818827629089355
calibration,1,,28,4718,4.567038536071777
calibration,1,,29,2055,5.12234354019165
calibration,1,,30,4817,4.930516719818115
calibration,1,,31,2110,5.413285732269287
calibration,1,,32,4972,7.313577175140381
calibration,1,,33,3779,6.488198280334473
calibration,1,,34,4553,4.341458320617676
calibration,1,,35,4505,5.833835124969482
calibration,1,,36,779,5.842901229858398
calibration,1,,37,375,4.236507892608643
calibration,1,,38,3175,6.5456976890563965
calibration,1,,39,1099,4.631682395935059
calibration,1,,40,3387,5.181561470031738
calibration,1,,41,3081,3.978203773498535
calibration,1,,42,461,6.769907474517822
calibration,1,,43,429,5.002404689788818
calibration,1,,44,2649,7.305001735687256
